!!!,sillyname,143.98649,Myth Takes,Myth Takes,2007
Rishi Rich,production music,235.25832,The Project,Sorry Feat. Rafaqat Ali Khan,2006
Rishi Rich,production music,45.45261,The Project,Jaan - Interlude,2006
Robben Ford,jazz and blues,203.98975,Talk To Your Daughter,I Got Over It (Album Version),1988
Robben Ford,jazz and blues,278.96118,Talk To Your Daughter,Ain't Got Nothin' But The Blues (Album Version),1988
Robben Ford,jazz and blues,250.53995,Talk To Your Daughter,Talk To Your Daughter (Album Version),1988
Robben Ford,jazz and blues,312.92036,Tiger Walk,The Champ,1997
Robben Ford,jazz and blues,298.37016,Blue Moon,Something For The Pain,2002
Robben Ford,jazz and blues,367.98649,Soul On Ten,Spoonful,2009
Robert Lockwood_ Jr.,blues,340.87138,I Got To Find Me A Woman,She's Little And She's Low,1998
Robert Lockwood_ Jr.,blues,278.38649,I Got To Find Me A Woman,Big Legged Woman,1998
Robert Lockwood_ Jr.,blues,274.70322,I Got To Find Me A Woman,Feel Like Blowing My Horn,1998
Robert Lockwood_ Jr.,blues,162.45506,I Got To Find Me A Woman,Kindhearted Woman Blues,1998
Robert Palmer,uk,247.95383,Double Fun,Love Can Run Faster,1978
Robert Palmer,uk,299.78077,Gold,Looking For Clues,1980
Robert Palmer,uk,184.34567,At The BBC,Some Guys Have All The Luck,1981
Robin Beanland/Dweezil Zappa/Nile Rodgers/Rabbit In The Moon,uk,131.65669,Conker: Live And Reloaded (Original Soundtrack),Conker The King,2005
Rocket From The Tombs,punk,138.44853,Rocket Redux,Frustration,2002
Roger Sanchez,american,532.37506,Lost,Lost,2006
Roger Sanchez,american,589.87057,Lost,Lost,2006
Rokia TraorA(c),world,340.50567,Wanita,ChAC/teau de sable,2000
Rokia TraorA(c),world,273.08363,TchamantchA(c),Koronoko,2008
Ron Goodwin,production music,47.51628,Battle Of Britain,Personal Tragedy,1999
Ron Goodwin,production music,99.97016,Battle Of Britain,The Lull Before The Storm,1999
Room 5,italian,403.01669,Music & You,Hidden Sun,2003
RUN-DMC,hip-hop,234.65751,Run DMC,Hard Times,1984
RUN-DMC,hip-hop,446.32771,King Of Rock,King Of Rock,1985
RUN-DMC,hip-hop,259.97016,King Of Rock,Jam-Master Jammin',1985
RUN-DMC,hip-hop,266.21342,King Of Rock,Slow And Low,1985
RUN-DMC,hip-hop,101.74649,Tougher Than Leather,Crack,1988
RUN-DMC,hip-hop,201.82159,It's Like This - The Best Of,Run's House,1988
RUN-DMC,hip-hop,185.23383,Tougher Than Leather,Miss Elaine,1988
RUN-DMC,hip-hop,267.59791,Original Album Classics,Faces,1990
RUN-DMC,hip-hop,227.5522,Original Album Classics,Bob Your Head,1990
RUN-DMC,hip-hop,216.65914,Down With The King,Can I Get A Witness,1993
RUN-DMC Featuring Jagged Edge,hip-hop,197.77261,Crown Royal,Let's Stay Together (Together Forever),2001
RUN-DMC vs. Jason Nevins,hip-hop,250.06975,It's Like This - The Best Of,It's Like That,1984
Rupa & the April Fishes,world,251.76771,Hear Globally: A Cumbancha Collection,C'est Moi,2009
S.U.P,french,274.54649,The Cube 1998,4tx.31b,1993
S.U.P,french,384.70485,To Live Alone,The Cube (Live),2001
S.U.P,french,320.02567,To Live Alone,Back From The Garden (Live),2001
Sade,uk,298.89261,Diamond Life,Smooth Operator,1983
Sade,uk,271.98649,Lovers Live,Paradise,1988
Sade,uk,252.47302,Lovers Rock,Slave Song,2000
Sade,uk,160.62649,Lovers Rock,All About Our Love,2000
Sade,uk,234.26567,Soldier of Love,Morning Bird,2010
Salt-N-Pepa,soul and reggae,207.62077,Ultimate Girl Groups,Push It,1988
Sam Baker,folk,144.74404,Sugar Man,I Can't Stand It,2005
Sammi Cheng,hong kong,255.76444,La La La,Wo Ai Ni_ Zai Jian!,2004
Samy Deluxe,german,235.98975,Samy Deluxe,Die Meisten,2001
Samy Deluxe,german,237.19138,Verdammtnochma!,Denk,2004
Samy Deluxe,german,234.05669,So Deluxe So Glorious,Ain`t got nothing ( feat. David Banner & Eddy Soulo ),2005
Samy Deluxe,german,247.01342,So Deluxe So Glorious,Sam und Bo_ N.E.O.,2005
Samy Deluxe,german,282.38322,The big baus of the nauf,Sag es sag es feat. Neo,2006
Sandi Thom,uk,425.19465,I Wish I Was A Punk Rocker (With Flowers In My Hair),I Wish I Was A Punk Rocker (With Flowers In My Hair),2006
Sandi Thom,uk,183.35302,The Best Of,When Horsepower Meant What It Said,2006
Sandi Thom,uk,205.21751,The Pink & The Lily,Wounded Hearts,2008
Saosin,post-hardcore,212.29669,Saosin EP,Bury Your Head,2005
Saosin,post-hardcore,254.27546,Saosin EP,Bury Your Head (Acoustic),2005
Savage Garden,australian,118.33424,Affirmation,You Can Still Be Free,1999
Savoy Brown,blues,171.62404,Kings of Boogie,All Burned Out,1989
Scar Symmetry,melodic death metal,271.5424,Nuclear Blast Showdown 2006,The Illusionist,2006
Scar Symmetry,melodic death metal,326.60853,Pitch Black Progress,Deviate From The Form,2006
Scar Symmetry,melodic death metal,204.95628,Pitch Black Progress,Abstracted,2006
Scar Symmetry,melodic death metal,237.84444,Holographic Universe,The Three-Dimensional Shadow,2008
Scott Matthews,pop and chart,299.72853,Passing Stranger,City Headache,2006
Scott Matthews,pop and chart,325.48526,Elsewhere,Underlying Lies,2009
Screamin' Jay Hawkins,classic pop and rock,211.33016,I Put a Spell on You: The Best Of,I Put a Spell on You,1956
Screamin' Jay Hawkins,classic pop and rock,150.56934,Screamin' Jay Hawkins,Talk About Me,1995
Screamin' Jay Hawkins,classic pop and rock,301.13914,I Put a Spell on You: The Best Of,What's Gonna Happen On the 8th Day,1996
Screaming Lord Sutch,uk,184.05832,Monster Rock,Murder In The Graveyard,1982
Seal,british,368.06485,The Beginning,The Beginning (Giro E Giro Mix),1991
Seal,british,354.76853,Human Being,Still Love Remains (Album Version),1998
Seal,british,258.63791,Human Being,When A Man Is Wrong (Album Version),1998
Seal,british,828.05506,Seal Best Remixes 1991-2005,I'm Alive (BT & Sasha Mix),2001
Seal,british,304.14322,Live In Paris,Prayer For The Dying (Live In Paris),2005
Sean Callery,video game,212.84526,24: Redemption,Jack and Benton,2008
Sean Kingston,pop and chart,184.58077,Face Drop,Face Drop,2009
Semisonic,pop and chart,258.92526,20th Century Masters: The Millennium Collection: Best Of Semisonic,If I Run,1993
Semisonic,pop and chart,280.00608,20th Century Masters: The Millennium Collection: Best Of Semisonic,Secret Smile,1998
Semisonic,pop and chart,232.25424,Feeling Strangely Fine,Gone To The Movies,1998
Sergio Mendes,bossa nova,322.11546,Sergio Mendes:  The Swinger from Rio,Puzzle of Hearts,2006
Sergio Mendes / Black Eyed Peas,bossa nova,267.20608,Mas Que Nada - Full Phatt Remix,Mas Que Nada,1985
Set Your Goals,steal your goals,153.23383,Mutiny: Deluxe Edition,This Very Moment,2006
Set Your Goals,steal your goals,204.40771,This Will Be The Death Of Us,the fallen...,2009
Set Your Goals,steal your goals,185.86077,This Will Be The Death Of Us,summer jam,2009
Sex Pistols,british,194.58567,Jubilee,Pretty Vacant,1977
Sex Pistols,british,129.93261,Spunk,Seventeen,1977
Sex Pistols,british,190.74567,Spunk,Looking For A Kiss,1977
Sex Pistols,british,216.60689,Punk International,God Save the Queen (Live),1988
Sex Pistols,british,126.06649,Live & Filthy,I'm A Lazy Sod (Live),1998
Sex Pistols,british,189.17832,Submission,Chatterbox,2004
Shaggy,jamaican,232.30649,Original Doberman,Alimony,1994
Shaggy,jamaican,223.4771,Intoxication,Criteria,2007
Shaggy / Brian & Tony Gold,jamaican,199.94077,Lucky Day,Hey Sexy Lady,2002
Shakedown,swiss,437.9424,At Night (The Unreleased Mixes),At Night,2001
Shakira,colombian,148.1922,El Amor En Los Tiempos del Colera (Love In The Time Of Cholera),Pienso En Ti,1995
Shakira,colombian,366.70649,The Remixes,Estoy AquA,1995
Shakira,colombian,399.98649,The Remixes,Donde Estas Corazon,1997
Shakira,colombian,409.99138,Shakira MTV Unplugged,Ojos AsA,1998
Shakira,colombian,214.12526,Donde Estan Los Ladrones,TAo,1998
Shakira,colombian,231.75791,Donde Estan Los Ladrones,Que Vuelvas,1998
Shakira,colombian,246.43873,Laundry Service,Poem To A Horse,2001
Shakira,colombian,224.522,Laundry Service,Objection (Tango),2001
Shakira,colombian,222.37995,Loba,Loba,2009
Shamen,electronic,337.71057,Boss Drum (album),Scientas,1992
Shamen,electronic,292.28363,Boss Drum (album),Phorever People,1992
Shamen,electronic,600.37179,Trasmazonia,Transamazonia (Deep Dish No Doze Mix),1995
Shamen,electronic,443.03628,Hystericool: The Best of the Alternate Mixes,Destination Eschaton (Hardfloor Vocal Mix),2002
Shania Twain,canadian,278.54322,The Woman In Me,Raining On Our Love,1995
Shania Twain,canadian,223.00689,The Complete Limelight Session,Two Hearts One Love,1999
Shapeshifters,uk,467.43465,Global Gathering 2008,Chime,2008
Sharon Shannon,folk,191.92118,The Galway Girl - The Best Of Sharon Shannon,Gaffo's Ball,2007
Shawn Colvin,folk,224.60036,Steady On,Another Long One,1989
Shawn Colvin,folk,290.11546,Steady On,Cry Like An Angel,1989
Shawn Colvin,folk,250.69669,Live,Sunny Came Home,1996
Shawn Colvin,folk,177.18812,These Four Walls,These Four Walls,2006
Shelby Lynne,alternative country,290.97751,Suit Yourself,Old Times Sake,2005
Shelby Lynne,alternative country,167.07873,Just A Little Lovin',Pretend,2008
Shriekback,english,297.92608,Big Night Music,Running On The Rocks,1986
Shriekback,english,113.60608,Cormorant,Reason With The Beast,2005
Shriekback,english,286.06649,Cormorant,The Strongest Wind That Blows,2005
Shriekback,english,234.68363,Glory Bumps,Squanderer,2007
Shy FX & T Power,drum and bass,380.44689,Innovation The Album Mixed By Shy FX,Feelings,2005
Sick Of It All,new york,223.7122,Scratch The Surface,Consume (LP Version),1994
Sick Of It All,new york,175.41179,Built To Last,Burn 'Em Down (LP Version),1997
Sick Of It All,new york,109.00853,Live In A Dive,Sanctuary,1999
Sick Of It All,new york,171.07546,Based On A True Story,Death Or Jail,2010
Sick On The Bus,punk,178.65098,Go To Hell,Who R Ya,2002
Sick Puppies,alternative rock,190.9024,Dressed Up As Life,Deliverance,2006
Sick Puppies,alternative rock,212.92363,Tri-polar (Edited),Master Of The Universe,2009
Sigmatropic,greek,263.57506,Dark Outside,The Blue Side of The Sun,2007
Silverchair,post-grunge,312.13669,Frogstomp,Cicada,1995
Silverchair,post-grunge,191.9473,Frogstomp,Suicidal Dream,1995
Silverchair,post-grunge,213.13261,Freak Show,The Door,1997
Silverchair,post-grunge,209.00526,Freak Show,Roses,1997
Simon & Garfunkel,folk,138.70975,The Collection,A Simple Desultory Philippic (Or How I Was Robert McNamara'd Into Submission),1966
Simon & Garfunkel,folk,182.56934,Parsley_ Sage_ Rosemary And Thyme,Patterns,1966
Simon & Garfunkel,folk,130.76853,The Collection,Old Friends,1968
Simon & Garfunkel,folk,194.35057,Old Friends Live On Stage,Citizen Of The Planet,2004
Simple Minds,new wave,308.94975,Sons And Fascination/Sister Feelings Call,Careful In Career,1981
Simple Minds,new wave,352.44363,Silver Box,Hunter And The Hunted (Live),1983
Simple Minds,new wave,261.8771,Real Life,See The Lights (2002 Digital Remaster),1991
Simple Minds,new wave,308.45342,Silver Box,Chelsea Girl (Live),2004
Simply Red,classic pop and rock,258.08934,Men And Women,Maybe Someday...,1987
Simply Red,classic pop and rock,303.96036,Stars [Expanded],Thrill Me,1991
Simply Red,classic pop and rock,333.322,Life,Fairground (+ Sample),1995
Simply Red,classic pop and rock,302.49751,So Not Over You,So Not Over You (Motivo-Pop Lectro Mix),2007
Sizzla,soul and reggae,274.15465,Black Woman And Child,Princess Black,1997
Sizzla,soul and reggae,197.48526,Riddim Driven: Wanted,Love & Devotion,2003
Sizzla,soul and reggae,203.96363,Bien Sobre Mal Vol. 3: Black Rain Riddim,Too much informa,2005
Sizzla,soul and reggae,168.56771,Jah Protect,Care,2006
Skeletonwitch,black metal,252.08118,Beyond the Permafrost,Within My Blood,2004
Skeletonwitch,black metal,173.37424,Beyond the Permafrost,Sacrifice for the Slaughtergod,2007
Skyforger,latvian,252.81261,Kurbads,In the Underworld,2010
SNAP!,german,315.03628,Welcome To Tomorrow,The World In My Hands (We Are One),1994
SNAP!,german,327.78404,Attack - The Remixes Part 1,Mary Had A Little Boy (Maestro Mix),1996
SNAP!,german,293.92934,Attack - The Remixes Part 2,Do You See The Light (Deep Ethno Mix),1996
SNAP!,german,404.37506,Beauty Queen,"Beauty Queen (12"" Spoon Club Mix)",2005
Sneaky Sound System,house,342.02077,I Love It,I Love It [Clubstar Remix],2006
Sneaky Sound System,house,225.82812,Sneaky Sound System,Lost In The Future,2008
Snow Patrol,northern irish,181.57669,Signal Fire,Chocolate,2003
Snow Patrol,northern irish,242.05016,Final Straw,Wow,2003
Snow Patrol,northern irish,229.642,Snow Patrol: Sessions@AOL,Spitting Games,2003
Snow Patrol,northern irish,174.602,Final Straw,Half The Fun,2004
Snow Patrol,northern irish,209.162,Shut Your Eyes,Shut Your Eyes,2006
Snow Patrol,northern irish,268.95628,Shut Your Eyes,Chasing Cars,2006
Snow Patrol,northern irish,276.68853,Eyes Open,In My Arms,2006
Snow Patrol,northern irish,217.57342,Chasing Cars,It Doesn't Matter Where_ Just Drive,2006
Snow Patrol,northern irish,284.1073,Just Say Yes,Just Say Yes,2009
Snow Patrol,northern irish,255.60771,Just Say Yes,Just Say Yes,2009
Snow Patrol,northern irish,214.5171,Snow Patrol Late Night Tales,New Sensation,2009
Soda Stereo,rock en espanol,225.12281,Gira Me VerA!s Volver,Te Hacen Falta Vitaminas,1984
Soda Stereo,rock en espanol,343.562,Ruido Blanco,Persiana Americana (Live),1987
Soda Stereo,rock en espanol,340.29669,De Musica Ligera,Terapia De Amor Intensiva,1988
Soda Stereo,rock en espanol,246.69995,CanciA3n Animal,Entre CanAbales,1990
Soilwork,metal,323.21261,The chainheart machine,Machine Gun Majesty [Live] (Album Version),2000
Soilwork,metal,258.16771,Sworn To A Great Divide,As The Sleeper Awakes,2007
Solas,folk,192.67873,Solas,Lament for Frankie,1996
Solas,folk,255.97342,The Edge Of Silence,Clothes Of Sand,2002
Solistiyhtye Suomi,finnish,164.98893,He Soittavat Humppaa,YksinA$?isin,2002
Sonny Terry,blues,149.41995,Blowing The Blues,My Baby Likes To Shuffle,1994
Soul Asylum,american underground,206.75873,While You Were Out,Freaks (Album Version),1986
Soul Asylum,american underground,168.93342,Made To Be Broken,Don't It (make Your Troubles Seem Small) (Album Version),1986
Soul Asylum,american underground,279.2224,Candy From A Stranger,Lies Of Hate,1998
Soul Asylum,american underground,235.20608,The Silver Lining,Slowly Rising,2006
Soul Ballet,smooth jazz,224.86159,LAViSH,da da Diamonds,2007
Soul Ballet,smooth jazz,330.37016,LAViSH,the Cool Down,2007
Soul Ballet,smooth jazz,462.07955,LAViSH,Tuscan Chica,2007
Soulwax,belgian,274.78159,Leave The Story Untold,Soul Simplicity,1996
Soulwax,belgian,201.24689,Kill Your Darlings,Kill Your Darlings,1996
Soulwax,belgian,171.4673,Much Against Everyone's Advice,Much Against Everyone'S Advice (Dave Bascombe Radio Mix),2000
Soundgarden,grunge,415.81669,Badmotorfinger,Slaves & Bulldozers,1991
Speedball,uk,212.21832,Maximum Speed,No Survivors,1998
Spinal Tap,comedy,218.20036,Back From the Dead,Big Bottom,1984
Spinal Tap,comedy,235.41506,Break Like The Wind,The Majesty Of Rock,1992
Spliff,ndw,264.41098,85555,Heut' Nacht,1982
Spliff,ndw,225.74975,85555,S.O.S.,1988
Spunk,norwegian,139.2322,En Aldeles Forferdelig Sykdom,Marbles,2005
Stanley Clarke,rock,282.69669,The Bass-ic Collection,Journey To Love,1975
Stanley Clarke,rock,312.76363,East River Drive,What If I Forget The Champagne,1998
Static-X,industrial metal,259.63057,Wisconsin Death Trip,Love Dump (Clean Album Version),1999
Static-X,industrial metal,98.89914,Shadow Zone,Transmission (Album Version),2003
Static-X,industrial metal,185.10322,Shadow Zone,Control It (Album Version),2003
Static-X,industrial metal,189.09995,Start A War,Night Terrors (Album Version),2005
Steel Pulse,soul and reggae,231.49669,Rage and Fury,Ku Klux Klan,1978
Steel Pulse,soul and reggae,266.05669,True Democracy,Man No Sober (LP Version),1982
Steel Pulse,soul and reggae,237.45261,Victims,We Can Do It,1991
Steel Pulse,soul and reggae,261.35465,Rage and Fury,House of Love,1997
Steel Pulse,soul and reggae,262.47791,Rage and Fury,Role Model,1997
Stephan Micus,german,519.8624,Twilight Fields,Part 1 (19 Flowerpots_ 2 Hammered Dulcimers_ Bavarian Zither_ Shakuhachi),1988
Stephan Micus,german,274.65098,Desert Poems,Contessa Entellina,2001
Stephan Micus,german,504.94649,Desert Poems,Mikhail's Dream,2001
Stephan Micus,german,336.09098,Towards The Wind,Virgen De La Nieve - 14-String Guitar Solo,2002
Stephan Micus,german,316.49914,On the Wing,part 2 - Winterlight,2006
Stephen Marley,soul and reggae,270.05342,Mind Control,Mind Control,2005
Stephen Marley / Damian Marley,soul and reggae,247.17016,Mind Control,The Traffic Jam,2006
Stephen Marley / Damian Marley,soul and reggae,273.89342,Mind Control,The Mission,2008
Stephy Tang,hong kong,205.06077,Fantasy,Zi You Zi Zai,2006
Steve Porter,massachusetts,509.33506,Sensor,Mindless,2000
Steve Riley & The Mamou Playboys,folk,182.22975,La Toussaint,Between Eunice & Opelousas,1995
Steve Riley & The Mamou Playboys,folk,189.64853,La Toussaint,Katherine,1995
Steve Vai,heavy metal,693.57669,Live In London,The Attitude Song,1984
Steve Vai,heavy metal,305.94567,Sound Theories Vol. I & II,Salamanders In The Sun,1984
Steve Vai,heavy metal,304.71791,Fire Garden,Brother,1996
Steve Vai,heavy metal,364.53832,The Ultra Zone,Fever Dream,1999
Steve Vai,heavy metal,363.36281,Live In London,Fire,2001
Steve Vai,heavy metal,69.90322,Sound Theories Vol. I & II,The Murder Prologue,2007
Steve Vai,heavy metal,383.29424,Where The Wild Things Are,Angel Food,2009
Stevie Ray Vaughan,jazz and blues,248.78975,Greatest Hits,Crossfire,1992
Stevie Ray Vaughan And Double Trouble,jazz and blues,281.05098,3 CD Slipcase,Couldn't Stand The Weather,1985
Stevie Ray Vaughan And Double Trouble,jazz and blues,240.77016,Soul To Soul/ Texas Flood/ Couldn't Stand The Weather,Cold Shot,1985
Stevie Ray Vaughan And Double Trouble,jazz and blues,166.73914,Soul To Soul/ Texas Flood/ Couldn't Stand The Weather,Mary Had A Little Lamb,1988
Stevie Ray Vaughan And Double Trouble,jazz and blues,166.73914,Texas Flood,Mary Had A Little Lamb,1988
Stevie Ray Vaughan And Double Trouble,jazz and blues,168.30649,In Step,The House Is Rockin',1994
Stevie Ray Vaughan And Double Trouble,jazz and blues,184.2673,Martin Scorsese Presents The Blues: Stevie Ray Vaughan,Empty Arms,1996
Stevie Ray Vaughan And Double Trouble,jazz and blues,235.65016,Blues At Sunrise,Chitlins Con Carne,1996
Stevie Ray Vaughan And Double Trouble,jazz and blues,368.63955,The Best Of,Ain't Gone 'N' Give Up On Love,2005
Stevie Ray Vaughan And Double Trouble,jazz and blues,551.91465,The Essential Stevie Ray Vaughan And Double Trouble,Tin Pan Alley (aka Roughest Place In Town),2005
Styles P,hip hop rnb and dance hall,85.02812,The Ghost In the Machine,Intro,2002
Sub Focus,dance and electronica,292.98893,RAM 15x15 Vol 2,Juno,2005
Sub Focus,dance and electronica,214.83057,Rock It,Follow The Light (Radio Edit),2009
Sugar Ray,classic pop and rock,161.82812,The Best Of Sugar Ray,Mean Machine (Remastered LP Version),2005
Sugarbomb,texas,219.74159,Bully,Gone,2001
Sugarbomb,texas,260.93669,Bully,Posterchild for Tragedy,2001
Suicidal Tendencies,punk,125.90975,Join The Army,Human Guinea Pig,1987
Suicidal Tendencies,punk,61.83138,Still Cyco After All These Years,Two-Sided Politics,1987
Suicidal Tendencies,punk,167.78404,Join The Army,Looking In Your Eyes,1987
Suicidal Tendencies,punk,269.81832,The Art Of Rebellion,It's Going Down,1992
Suicidal Tendencies,punk,312.55465,The Art Of Rebellion,Monopoly On Sorrow,1992
Sun Yan-Zi,stefanie sun,285.962,Kite,Abscondence,2001
Sun Yan-Zi,stefanie sun,215.53587,Start,That's The Way It Is,2002
Sunscreem,house,590.15791,Renaissance The Classics,Perfect Motion,1992
Sunscreem,house,232.4371,Looking At You: The Club Anthems,Exodus,1995
Sunscreem,house,241.89342,Secrets,Secrets,1996
Super Cat,hip hop rnb and dance hall,229.66812,Don Dada,Oh It's You,1992
Super Cat,hip hop rnb and dance hall,215.66649,Don Dada,Them No Care,1992
Suzanne Ciani,instrumental,192.20853,Pianissimo,Mozart,1989
Suzi Quatro,classic pop and rock,200.202,The Very Best Of,Too Big,1974
Suzi Quatro,classic pop and rock,217.46893,The Wild One - The Greatest Hits,Mama's Boy,1979
Suzi Quatro,classic pop and rock,301.21751,What Goes Around,Born To Run,1995
Suzi Quatro,classic pop and rock,207.882,A's_ B's And Rarities,Kids Of Tragedy,2004
Swallow The Sun,via mistica,509.49179,Hope,Doomed To Walk The Earth,2007
Swallow The Sun,via mistica,377.75628,New Moon,...and Heavens Cried Blood,2009
Swami,desi,259.91791,53431,Tonight,2009
SWAMI featuring Asuivre,desi,260.28363,EQUALIZE,Give It What U Got,2007
SWAMI featuring Ishmael Morabe,desi,275.90485,EQUALIZE,Break,2007
System of a Down,alternative metal,160.49587,System Of A Down,War?,1996
System of a Down,alternative metal,217.59955,Steal This Album!,Streamline,2001
T.I.,hip hop rnb and dance hall,258.92526,Urban Legend,Why U Mad At Me (Explicit Screwed Version),2004
Taking Back Sunday,rock and indie,223.39873,Where You Want To Be,I Am Fred Astaire (Album Version),2004
Taking Back Sunday,rock and indie,219.79383,Louder Now,Spin (Album Version),2006
Taking Back Sunday,rock and indie,168.25424,New Again,Catholic Knees (Album Version),2009
Talib Kweli,rap,222.11873,Eardrum,Say Something [featuring Jean Grae] (Album Version),2007
Talib Kweli,rap,196.33587,Eardrum,Everything Man (Album Version),2007
Talking Heads,post-punk,355.73506,True Stories,Papa Legba (2005 Digital Remaster),1986
Talking Heads,post-punk,348.78649,Speaking In Tongues [w/Bonus Tracks & Interactive Booklet],Two Note Swivel (Unfinished Outtake),2005
Talvin Singh,uk,350.4322,True Chillout (3CD set),Traveller,1998
Tam Tam Go!,spanish,223.97342,The Platinum Collection,Better Ways,1990
Tam Tam Go!,spanish,190.04036,The Platinum Collection,Belleza Pasajera,1993
Tam Tam Go!,spanish,231.60118,The Platinum Collection,En La Tierra Caliente,1993
Tam Tam Go!,spanish,405.41995,Cruzando El RAo,Atrapados En La Red,1999
Tammy Wynette,country,159.60771,Country 100,Stand By Your Man,1968
Tammy Wynette,country,119.90159,The World Of Tammy Wynette,I Stayed Long Enough,1968
Tanto Metro & Devonte,hip hop rnb and dance hall,221.23057,Everyone Falls In Love,Know Your Friends,1999
Tanto Metro & Devonte,hip hop rnb and dance hall,207.33342,Riddim Driven - Adrenaline,Honey I Sugar Pie,2003
Tanto Metro & Devonte,hip hop rnb and dance hall,158.1971,Riddim Driven: Celebration,Strange Things,2004
Taylor Swift,taylor-swift,245.78567,Fearless,Should've Said No,2006
Taylor Swift,taylor-swift,245.36771,Fearless,The Way I Loved You,2008
Teena Marie,funk,323.18649,Robbery,Playboy,1983
Teena Marie,funk,78.96771,Starchild,Light,1984
Teena Marie,funk,345.67791,Starchild,Help Youngblood Get To the Freaky Party,1984
Teena Marie,funk,328.56771,Ivory,How Can You Resist It,1990
Teenage Fanclub,rock and indie,274.70322,Bandwagonesque,I Don't Know,1991
Teenage Fanclub,rock and indie,204.77342,Howdy!,The Sun Shines From You,2000
Teenage Fanclub,rock and indie,266.89261,Four Thousand_ Seven Hundred and Seventy seconds; A Shortcut to Teenage Fanclub,The World'll Be OK,2003
Teenage Fanclub,rock and indie,221.41342,Man-made,It's All In My Mind,2005
Temple Of The Dog,hard rock,243.9571,Temple Of The Dog,Hunger Strike,1991
Terror Squad / Remy / Prospect / Armageddon,hip hop rnb and dance hall,251.89832,True Story,Hum Drum,2004
Terry Callier,classic pop and rock,342.56934,Occasional Rain,Do You Finally Need A Friend,1972
Terry Callier,classic pop and rock,243.04281,Lifestyle2 - Acoustic Vol 2,Occasional Rain,1972
Terry Callier,classic pop and rock,315.08853,Timepeace,Java Sparrow,1998
Terry Callier,classic pop and rock,327.05261,LifeTime,Holdin' On,1999
Terry Callier,classic pop and rock,180.50567,Essential_ The Very Best Of...,Blues,2001
Terry Callier,classic pop and rock,258.19383,I Just Can't Help Myself,Satin Doll,2007
Test Icicles,indie,190.24934,For Screening Purposes Only,Snowball,2005
Test Icicles,indie,216.45016,What's Your Damage?,What's Your Damage?,2005
Tha Alkaholiks,hip hop,217.36444,21 & Over,Only When I'm Drunk,1993
The All American Rejects,pop and chart,185.99138,Meet The Robinsons Original Soundtrack (French Version),The Future Has Arrived,2007
The All American Rejects,pop and chart,195.18649,Nightmare Revisited,Jack's Lament,2008
The All-American Rejects,pop and chart,279.71873,Dirty Little Secret,Bite Back,2005
The Animals_ Sonny Boy Williamson,british,463.49016,The Animals with Sonny Boy Williamson,Bo Diddley,1973
The Ataris,punk,99.49995,...Anywhere But Here,Make It Last,1997
The Ataris,punk,257.85424,So Long_ Astoria,I Won't Spend Another Night Alone,1999
The Ataris,punk,246.85669,So Long_ Astoria,The Hero Dies in This One,2003
The Ataris,punk,199.26159,Live At The Metro,so long_ astoria,2004
The Ataris,punk,212.89751,Welcome The Night,Whatever Lies Will Help You Rest,2006
The Ataris,punk,222.9024,Welcome The Night,Secret Handshakes,2006
The B-52's,classic pop and rock,261.74649,The B52's,Wig,1986
The B-52's,classic pop and rock,313.20771,Good Stuff,Tell It Like It T-I-IS (Album Version),1992
The Beatles / Tony Sheridan,british,130.95138,Total 60s,Ain't She Sweet,1964
The Berzerker,grindcore,165.61587,The Berzerker,Deform (live),2000
The Berzerker,grindcore,105.45587,The Berzerker,Humanity,2000
The Berzerker,grindcore,163.81342,Dissimulate,Compromise,2002
The Berzerker,grindcore,84.1922,Dissimulate,Pure Hatred,2002
The Black Crowes,southern rock,348.89098,The Southern Harmony And Musical Companion,Sting Me,1992
The Black Crowes,southern rock,256.20853,Amorica,Nonfiction,1994
The Black Crowes,southern rock,339.25179,Amorica,Ballad In Urgency,1994
The Black Crowes,southern rock,404.58404,Live,Girl From A Pawnshop,1996
The Black Crowes,southern rock,263.52281,Before the Frost... Until the Freeze,Roll Old Jeremiah,2009
The Black Crowes,southern rock,202.91873,Before the Frost... Until the Freeze,Good Morning Captain,2009
The Blind Boys Of Alabama,world,176.40444,Atom Bomb,New Born Soul,2005
The Box Tops,classic pop and rock,177.3971,The Letter/Neon Rainbow,Neon Rainbow,1967
The Box Tops,classic pop and rock,148.61016,The Letter/Neon Rainbow,People Make The World,1967
The Box Tops,classic pop and rock,142.36689,Nonstop,I Can Dig It,1968
The Box Tops,classic pop and rock,148.03546,Dimensions,Soul Deep,1969
The Bucketheads,pop and chart,365.71383,All In The Mind,Sayin' Dope,1995
The Bucketheads,pop and chart,383.16363,All In The Mind,Little Louie Bonus,1995
The Bug Featuring Ricky Ranking,uk,309.28934,London Zoo,Judgement,2008
The Bug Featuring Spaceape,uk,327.99302,London Zoo,Fuckaz,2008
The Business,uk,144.77016,No Mercy For You,Class Compromise (&History's Glory),2001
The Cardigans,swedish,211.35628,Best Of,Rise & Shine,1994
The Cardigans,swedish,259.76118,First Band On The Moon,Iron Man,1996
The Cardigans,swedish,296.85506,Gran Turismo,Paralyzed,1998
The Cardigans,swedish,255.39873,Gran Turismo,Marvel Hill,1998
The Cardigans,swedish,274.05016,I Need Some Fine Wine And You_ You Need To Be Nicer,Explode,1998
The Cars,rock and indie,234.50077,The Squid And The Whale,Drive,1984
